,DON_BO,BB_BREAK,KC_BREAK,SQZPOP,ATR_EXP,VOL_BO,CONSOL_BO,NEW_HIGH,RANGE_BO,EMA_CROSS,EMA_STACK,MACD_CROSS,SUPERTREND,ADX_TREND,GOLDEN,PSAR,PULLBACK,TREND_SMA,RSI_CROSS,RSI_STRONG,ROC_MOM,VOL_SURGE,CONSEC_BULL,OBV_TREND,STOCH_CROSS,MFI_CROSS,CMF_POS
DON_BO,1.0,0.4733,0.3555,0.0984,0.1963,0.3873,0.1678,0.8597,0.8612,0.1207,0.1115,0.1419,0.1647,0.067,0.0125,0.1225,0.2126,0.0379,0.0705,0.3238,0.1508,0.2303,0.1135,0.2484,-0.0102,0.1016,0.0691
BB_BREAK,0.4733,1.0,0.3568,0.1025,0.2226,0.3082,0.1956,0.456,0.4408,0.1371,0.0731,0.1774,0.1988,0.0763,0.0113,0.1391,0.1806,0.0432,0.0841,0.3592,0.0753,0.2039,0.0858,0.2321,-0.0086,0.0956,0.0929
KC_BREAK,0.3555,0.3568,1.0,0.0624,0.158,0.1993,0.1368,0.3454,0.3818,0.1691,0.2289,0.1262,0.2716,0.1538,0.0041,0.1999,0.1599,0.0659,0.1163,0.4899,0.0663,0.1656,0.0585,0.1638,0.0024,0.1197,0.0603
SQZPOP,0.0984,0.1025,0.0624,1.0,0.0727,0.0717,0.0659,0.137,0.0958,0.043,0.0152,0.0136,0.0642,0.0111,0.0049,0.0136,0.1494,0.0096,0.0208,0.0707,0.0111,0.0731,0.0709,0.0775,0.0214,0.04,0.0807
ATR_EXP,0.1963,0.2226,0.158,0.0727,1.0,0.2868,0.8626,0.2261,0.2096,0.0815,0.0924,0.0991,0.0932,0.0863,0.0212,0.1323,0.2776,0.0804,0.1271,0.1578,0.0263,0.3363,0.1365,0.1552,0.0112,0.0583,0.1562
VOL_BO,0.3873,0.3082,0.1993,0.0717,0.2868,1.0,0.2498,0.3373,0.3902,0.0744,0.0488,0.1211,0.1371,0.0517,0.0144,0.1047,0.1609,0.0181,0.0828,0.1577,0.0866,0.5778,0.0804,0.2478,-0.0052,0.1175,0.0809
CONSOL_BO,0.1678,0.1956,0.1368,0.0659,0.8626,0.2498,1.0,0.1927,0.1941,0.074,0.0819,0.111,0.0869,0.1162,0.017,0.1474,0.2408,0.0727,0.1417,0.138,0.0223,0.2884,0.1173,0.1448,0.055,0.0618,0.1533
NEW_HIGH,0.8597,0.456,0.3454,0.137,0.2261,0.3373,0.1927,1.0,0.7829,0.147,0.1197,0.1416,0.166,0.0625,0.0266,0.1415,0.3427,0.0441,0.0714,0.3381,0.1324,0.2334,0.1847,0.299,-0.0193,0.1123,0.1128
RANGE_BO,0.8612,0.4408,0.3818,0.0958,0.2096,0.3902,0.1941,0.7829,1.0,0.1886,0.1529,0.2074,0.2484,0.138,0.0125,0.1985,0.2549,0.0634,0.1598,0.3404,0.1501,0.2288,0.137,0.2681,-0.0003,0.1414,0.0831
EMA_CROSS,0.1207,0.1371,0.1691,0.043,0.0815,0.0744,0.074,0.147,0.1886,1.0,0.2042,0.1483,0.2109,0.0703,0.0022,0.1466,0.1277,0.1345,0.1265,0.1519,0.0424,0.0717,0.0619,0.0977,0.0007,0.0545,0.0565
EMA_STACK,0.1115,0.0731,0.2289,0.0152,0.0924,0.0488,0.0819,0.1197,0.1529,0.2042,1.0,0.0966,0.2005,0.2352,0.0069,0.1519,0.2354,0.0775,0.1381,0.2879,0.0045,0.0979,0.0448,0.0851,0.0654,0.0781,0.0775
MACD_CROSS,0.1419,0.1774,0.1262,0.0136,0.0991,0.1211,0.111,0.1416,0.2074,0.1483,0.0966,1.0,0.1827,0.1808,0.0084,0.2484,0.0951,0.0711,0.1417,0.1141,0.0163,0.0938,0.0661,0.0757,0.0215,0.0819,0.0392
SUPERTREND,0.1647,0.1988,0.2716,0.0642,0.0932,0.1371,0.0869,0.166,0.2484,0.2109,0.2005,0.1827,1.0,0.3167,0.0016,0.3764,0.0909,0.1006,0.2235,0.2556,0.0195,0.0801,0.0671,0.119,0.0282,0.0684,0.0645
ADX_TREND,0.067,0.0763,0.1538,0.0111,0.0863,0.0517,0.1162,0.0625,0.138,0.0703,0.2352,0.1808,0.3167,1.0,0.0008,0.2847,0.1207,0.1525,0.3348,0.18,0.0438,0.0612,0.0596,0.0853,0.1216,0.0814,0.0571
GOLDEN,0.0125,0.0113,0.0041,0.0049,0.0212,0.0144,0.017,0.0266,0.0125,0.0022,0.0069,0.0084,0.0016,0.0008,1.0,0.0073,0.0263,0.0083,0.0037,0.0111,-0.0009,0.0218,0.0191,0.0284,-0.0031,-0.0014,0.0079
PSAR,0.1225,0.1391,0.1999,0.0136,0.1323,0.1047,0.1474,0.1415,0.1985,0.1466,0.1519,0.2484,0.3764,0.2847,0.0073,1.0,0.1389,0.1206,0.2133,0.1682,0.0092,0.092,0.1019,0.1122,0.0398,0.0927,0.0537
PULLBACK,0.2126,0.1806,0.1599,0.1494,0.2776,0.1609,0.2408,0.3427,0.2549,0.1277,0.2354,0.0951,0.0909,0.1207,0.0263,0.1389,1.0,0.156,0.1815,0.2297,0.0141,0.2957,0.3204,0.2276,0.0544,0.1187,0.1875
TREND_SMA,0.0379,0.0432,0.0659,0.0096,0.0804,0.0181,0.0727,0.0441,0.0634,0.1345,0.0775,0.0711,0.1006,0.1525,0.0083,0.1206,0.156,1.0,0.2651,0.059,0.0013,0.0251,0.091,0.0322,0.0882,0.0355,0.0341
RSI_CROSS,0.0705,0.0841,0.1163,0.0208,0.1271,0.0828,0.1417,0.0714,0.1598,0.1265,0.1381,0.1417,0.2235,0.3348,0.0037,0.2133,0.1815,0.2651,1.0,0.0881,0.0269,0.0737,0.0728,0.1182,0.1588,0.1111,0.0858
RSI_STRONG,0.3238,0.3592,0.4899,0.0707,0.1578,0.1577,0.138,0.3381,0.3404,0.1519,0.2879,0.1141,0.2556,0.18,0.0111,0.1682,0.2297,0.059,0.0881,1.0,0.0703,0.134,0.1136,0.154,0.0061,0.1074,0.1029
ROC_MOM,0.1508,0.0753,0.0663,0.0111,0.0263,0.0866,0.0223,0.1324,0.1501,0.0424,0.0045,0.0163,0.0195,0.0438,-0.0009,0.0092,0.0141,0.0013,0.0269,0.0703,1.0,0.0827,0.0086,0.0879,0.0001,0.0352,0.0149
VOL_SURGE,0.2303,0.2039,0.1656,0.0731,0.3363,0.5778,0.2884,0.2334,0.2288,0.0717,0.0979,0.0938,0.0801,0.0612,0.0218,0.092,0.2957,0.0251,0.0737,0.134,0.0827,1.0,0.1183,0.2204,0.0067,0.0977,0.0778
CONSEC_BULL,0.1135,0.0858,0.0585,0.0709,0.1365,0.0804,0.1173,0.1847,0.137,0.0619,0.0448,0.0661,0.0671,0.0596,0.0191,0.1019,0.3204,0.091,0.0728,0.1136,0.0086,0.1183,1.0,0.0993,-0.0125,0.0407,0.0876
OBV_TREND,0.2484,0.2321,0.1638,0.0775,0.1552,0.2478,0.1448,0.299,0.2681,0.0977,0.0851,0.0757,0.119,0.0853,0.0284,0.1122,0.2276,0.0322,0.1182,0.154,0.0879,0.2204,0.0993,1.0,0.0225,0.0976,0.0854
STOCH_CROSS,-0.0102,-0.0086,0.0024,0.0214,0.0112,-0.0052,0.055,-0.0193,-0.0003,0.0007,0.0654,0.0215,0.0282,0.1216,-0.0031,0.0398,0.0544,0.0882,0.1588,0.0061,0.0001,0.0067,-0.0125,0.0225,1.0,0.0907,0.0367
MFI_CROSS,0.1016,0.0956,0.1197,0.04,0.0583,0.1175,0.0618,0.1123,0.1414,0.0545,0.0781,0.0819,0.0684,0.0814,-0.0014,0.0927,0.1187,0.0355,0.1111,0.1074,0.0352,0.0977,0.0407,0.0976,0.0907,1.0,0.052
CMF_POS,0.0691,0.0929,0.0603,0.0807,0.1562,0.0809,0.1533,0.1128,0.0831,0.0565,0.0775,0.0392,0.0645,0.0571,0.0079,0.0537,0.1875,0.0341,0.0858,0.1029,0.0149,0.0778,0.0876,0.0854,0.0367,0.052,1.0
